treated,control,weight
30544,30711,0.8439853268983016
30544,31651,0.1357026123572565
30544,31935,0.02004370055561677
30607,30645,0.04885810786550226
30607,30731,0.1076234596413428
30607,31718,0.034462174397773576
30607,32327,0.24324363895437348
30607,32337,0.5640903990576179
30645,30607,0.5546803341827633
30645,30730,0.0011079627731965993
30645,30736,0.005322215041625739
30645,31718,0.0032096189651989356
30645,32131,0.43201678681132416
30645,32327,0.002407337124080443
30704,30544,0.006654842701953873
30704,30730,0.09851909992779198
30704,30821,0.3685338554585597
30704,31235,0.014374424310363721
30704,31654,0.011812396890527418
30704,31935,0.10067046804032098
30704,32143,0.015218338604906678
30704,32327,0.38214554222551367
30706,30544,0.10923048336490249
30706,30645,0.16101438162921028
30706,30704,0.03714228091112037
30706,30711,0.3517305669142025
30706,30736,0.22176052766480256
30706,31235,0.01223193032325659
30706,31654,0.03504188072384039
30706,32131,0.0016980620406802241
30706,32327,0.06829681105879165
30711,30544,0.4267620187712859
30711,31651,0.5731508972625555
30718,30736,0.11645834651208686
30718,30741,0.5119917647017483
30718,30831,0.19010637970796693
30718,30856,0.06654588529599738
30718,31654,0.11451277099860421
30730,30607,0.1638196981752134
30730,30704,0.07153782224595001
30730,30732,0.001604492807846452
30730,30831,0.22128677086926687
30730,32141,0.5381011337399976
30731,30544,0.16815359969120877
30731,30607,0.5237111940947564
30731,30821,0.014260947861870411
30731,30831,0.015113762988149523
30731,30856,0.07328733369603224
30731,31224,0.1588823815647349
30731,31718,0.0018529532121287912
30731,32131,0.04047241141143367
30731,32141,0.0010293294667274334
30732,30607,0.1426461992485458
30732,30645,0.00635962148044131
30732,30706,0.057496129291454645
30732,30711,0.04646120401821935
30732,30718,0.0053486835734677714
30732,30730,0.26371868075269095
30732,30741,0.008826141063624759
30732,31224,0.006252751392050114
30732,31235,0.14763916625109053
30732,31651,0.10630733184022169
30732,31718,0.02947178103731682
30732,32143,0.003344683405021698
30732,32337,0.17172242286517422
30736,30704,0.0058848248509159404
30736,30706,0.001176907825317583
30736,30718,0.01583530741256131
30736,30730,0.13329886701264654
30736,30731,0.05829860938437495
30736,30732,0.12906413841370679
30736,30741,0.0014193623762717546
30736,30856,0.1928383446243156
30736,31235,0.014708702188866106
30736,31718,0.19702032019295607
30736,32141,0.001574080089015207
30736,32327,0.241163314450332
30736,32337,0.003958783328590523
30741,30711,0.041776562437096536
30741,30856,0.22633795152086272
30741,31718,0.05635941696324359
30741,32337,0.6730855389755669
30821,30544,0.09821263417988804
30821,30704,0.006324168757034003
30821,30831,0.24430412248250172
30821,30856,0.14829142577611626
30821,31235,0.5022072069068481
30831,30607,0.2877009139695139
30831,30704,0.0010424814185923097
30831,30730,0.11091624631104373
30831,30731,0.002600444839497485
30831,30736,0.001917834735715918
30831,30821,0.06059735505923039
30831,30856,0.2306944271607256
30831,31654,0.05822412689715232
30831,31718,0.002844714747147521
30831,32327,0.24242000917519338
30856,30704,0.0013710988912598024
30856,30730,0.17120558514117024
30856,30741,0.09459893482232667
30856,30821,0.0021250109375191128
30856,30831,0.5550867663830001
30856,32327,0.17458174208251245
31224,30544,0.35322912689492453
31224,30645,0.11275461718118768
31224,30718,0.20373891928998114
31224,30741,0.059629553402302665
31224,31651,0.26971544358345595
31235,30607,0.006673984701287903
31235,30706,0.011326205106937149
31235,30711,0.34127729241575167
31235,30732,0.002462955578074043
31235,30736,0.0010266782194513577
31235,30821,0.39625272431391934
31235,31718,0.06434551739400919
31235,32131,0.1759855462563665
31651,30544,0.034991340918786
31651,30706,0.010536318311156685
31651,30711,0.49014754803684046
31651,30732,0.004326633600993807
31651,31224,0.007863202437162747
31651,31235,0.2849140143874816
31651,31654,0.09581331257484155
31651,32327,0.06962381304138793
31654,30544,0.3126346213045309
31654,30704,0.17825281341708651
31654,30831,0.08247039265218105
31654,31224,0.0365562028716827
31654,32327,0.3891878344245536
31718,30607,0.16909790034394362
31718,30645,0.0014676936355715797
31718,30706,0.003323162935361737
31718,30711,0.1420512633546571
31718,30730,0.0014477042926700403
31718,30731,0.0010398977208311358
31718,30732,0.0020582021511411207
31718,30831,0.0672894390072784
31718,31235,0.5982816156609906
31718,32131,0.007613609553065137
31718,32337,0.001049850360035241
31935,30544,0.2485127630638445
31935,30645,0.11327150375843997
31935,30704,0.22637625299827416
31935,31224,0.41159250580916057
32131,30544,0.052105114653637985
32131,30645,0.06786397475103771
32131,30704,0.0010244984317868515
32131,30706,0.003531279664146642
32131,30711,0.13490615472360318
32131,30731,0.06736460712935936
32131,31224,0.14778317451265668
32131,31235,0.3898529840361341
32131,31651,0.006750532701103004
32131,31718,0.00170240599749805
32131,32141,0.08829997461988696
32131,32143,0.033007858891520026
32131,32327,0.001439611064914666
32131,32337,0.0018311550799563828
32141,30544,0.04594424097387543
32141,30730,0.3322691067088405
32141,31224,0.0017809548721065731
32141,31935,0.03600048404510758
32141,32327,0.003090041464403534
32141,32337,0.5779322637822141
32143,30704,0.29355492037802905
32143,30706,0.12134473157389725
32143,31935,0.4327389848666899
32143,32337,0.1514151528896305
32327,30607,0.00244454435498981
32327,30645,0.002734158037121074
32327,30704,0.0013839291766979834
32327,30831,0.22013299895932453
32327,30856,0.5770790906556185
32327,32141,0.19286334702839797
32327,32337,0.00210027473373095
32337,30607,0.3947923823513286
32337,30741,0.14916656853368074
32337,30856,0.16795665985249458
32337,32141,0.2841874446041055
32337,32143,0.0018934274308388122
